itemNumber,title,cout,cin
53586,"Internet roadside cafÃ¢Â€Âš","2005-12-27 19:41:00","2006-02-10 18:52:00"
53586,"Internet roadside cafÃ¢Â€Âš","2006-06-22 17:13:00","2006-06-24 13:16:00"
53586,"Internet roadside cafÃ¢Â€Âš","2007-04-07 16:18:00","2007-04-09 11:14:00"
53586,"Internet roadside cafÃ¢Â€Âš","2008-02-05 14:49:00","2008-02-19 14:06:00"
54527,"Bill Gates talking with David Frost","2006-01-21 17:41:00","2006-02-14 16:01:00"
54527,"Bill Gates talking with David Frost","2006-04-06 17:56:00","2006-04-10 18:11:00"
54527,"Bill Gates talking with David Frost","2006-04-15 17:45:00","2006-05-06 17:20:00"
54527,"Bill Gates talking with David Frost","2006-07-22 16:52:00","2006-08-05 12:35:00"
54527,"Bill Gates talking with David Frost","2006-08-26 14:54:00","2006-09-16 16:31:00"
57568,"Bill Gates talking with David Frost","2006-06-17 15:24:00","2006-06-27 13:09:00"
57568,"Bill Gates talking with David Frost","2006-06-17 15:24:00","2007-12-21 12:38:00"
57568,"Bill Gates talking with David Frost","2006-06-17 15:24:00","2008-03-18 15:15:00"
57568,"Bill Gates talking with David Frost","2008-03-18 16:54:00","2008-03-21 15:42:00"
57568,"Bill Gates talking with David Frost","2008-03-18 16:54:00","2008-04-15 13:01:00"
57568,"Bill Gates talking with David Frost","2008-09-09 10:45:00","2008-10-14 14:31:00"
57568,"Bill Gates talking with David Frost","2008-09-09 10:45:00","2008-11-22 10:47:00"
57568,"Bill Gates talking with David Frost","2008-11-25 19:30:00","2008-11-25 19:36:00"
57568,"Bill Gates talking with David Frost","2008-11-25 19:30:00","2008-12-05 12:22:00"
57568,"Bill Gates talking with David Frost","2008-12-09 13:30:00","2009-02-11 12:49:00"
57568,"Bill Gates talking with David Frost","2008-12-09 13:30:00","2009-04-04 15:15:00"
76597,Hollynet,"2005-12-27 19:41:00","2006-01-07 13:01:00"
76597,Hollynet,"2005-12-27 19:41:00","2006-02-15 11:34:00"
76597,Hollynet,"2006-02-24 13:22:00","2006-03-02 16:07:00"
76597,Hollynet,"2006-06-22 17:13:00","2006-06-28 13:00:00"
76597,Hollynet,"2006-08-03 14:20:00","2006-08-14 16:57:00"
76597,Hollynet,"2006-08-21 19:49:00","2006-09-20 10:46:00"
76597,Hollynet,"2006-08-21 19:49:00","2007-07-16 13:55:00"
76597,Hollynet,"2007-07-20 16:25:00","2007-07-27 16:18:00"
79315,"Wireless web a managers guide","2009-04-24 14:07:00","2009-06-23 13:20:00"
89415,"real peoples guide to the Internet","2005-08-26 16:02:00","2006-02-14 16:22:00"
89415,"real peoples guide to the Internet","2006-05-17 17:32:00","2006-05-27 13:13:00"
92921,"Internet for educators","2005-12-27 19:41:00","2006-01-07 12:59:00"
92921,"Internet for educators","2005-12-27 19:41:00","2006-02-10 12:05:00"
107751,"CCNA Cisco certified network associate study guide","2006-01-09 13:19:00","2006-01-09 13:23:00"
107751,"CCNA Cisco certified network associate study guide","2006-01-22 13:38:00","2006-02-01 17:37:00"
107751,"CCNA Cisco certified network associate study guide","2006-03-08 14:29:00","2006-03-29 16:42:00"
107751,"CCNA Cisco certified network associate study guide","2006-08-26 14:05:00","2006-09-22 17:01:00"
107751,"CCNA Cisco certified network associate study guide","2006-08-26 14:05:00","2006-12-14 16:42:00"
107751,"CCNA Cisco certified network associate study guide","2007-02-08 17:05:00","2007-04-09 11:36:00"
107751,"CCNA Cisco certified network associate study guide","2007-08-13 13:23:00","2007-10-18 00:00:00"
107751,"CCNA Cisco certified network associate study guide","2007-08-13 13:23:00","2007-11-20 11:37:00"
107751,"CCNA Cisco certified network associate study guide","2008-11-13 08:02:00","2009-01-07 10:28:00"
107751,"CCNA Cisco certified network associate study guide","2009-02-13 12:28:00","2009-03-03 13:32:00"
107751,"CCNA Cisco certified network associate study guide","2009-05-20 18:06:00","2009-05-29 14:29:00"
165672,"Content delivery networks web switching for security availability and speed","2005-11-12 14:11:00","2006-01-11 19:55:00"
