itemNumber,title,cin,cout
24804,"C in a nutshell","2006-01-31 15:25:00","2005-11-19 17:23:00"
24804,"C in a nutshell","2006-05-06 12:51:00","2006-05-01 17:36:00"
24980,"C in a nutshell","2006-01-27 11:49:00","2006-01-06 13:04:00"
24980,"C in a nutshell","2006-01-30 18:46:00","2006-01-06 13:04:00"
24980,"C in a nutshell","2006-02-01 16:43:00","2006-01-06 13:04:00"
24980,"C in a nutshell","2006-02-09 21:49:00","2006-01-06 13:04:00"
24980,"C in a nutshell","2006-02-10 10:06:00","2006-01-06 13:04:00"
24980,"C in a nutshell","2006-06-24 17:11:00","2006-04-22 13:37:00"
24980,"C in a nutshell","2006-06-28 17:05:00","2006-04-22 13:37:00"
24980,"C in a nutshell","2006-06-29 12:41:00","2006-04-22 13:37:00"
24980,"C in a nutshell","2006-07-03 15:39:00","2006-06-29 15:39:00"
24980,"C in a nutshell","2006-07-07 11:52:00","2006-06-29 15:39:00"
24980,"C in a nutshell","2006-07-29 17:13:00","2006-07-08 17:55:00"
24980,"C in a nutshell","2006-08-11 19:24:00","2006-07-08 17:55:00"
24980,"C in a nutshell","2006-08-14 12:43:00","2006-07-08 17:55:00"
24980,"C in a nutshell","2006-08-26 12:56:00","2006-08-19 12:29:00"
24980,"C in a nutshell","2006-09-01 10:38:00","2006-08-19 12:29:00"
24980,"C in a nutshell","2006-10-14 17:06:00","2006-09-02 17:46:00"
24980,"C in a nutshell","2006-10-16 10:32:00","2006-09-02 17:46:00"
24980,"C in a nutshell","2006-10-17 16:03:00","2006-09-02 17:46:00"
24980,"C in a nutshell","2006-11-13 13:16:00","2006-09-02 17:46:00"
24980,"C in a nutshell","2006-12-07 18:26:00","2006-11-15 18:53:00"
24980,"C in a nutshell","2006-12-08 11:47:00","2006-11-15 18:53:00"
24980,"C in a nutshell","2007-01-13 13:01:00","2006-12-11 13:42:00"
24980,"C in a nutshell","2007-06-22 15:27:00","2007-01-24 17:58:00"
24980,"C in a nutshell","2007-08-30 19:21:00","2007-06-27 19:04:00"
24980,"C in a nutshell","2007-09-01 11:42:00","2007-06-27 19:04:00"
24980,"C in a nutshell","2007-11-02 11:21:00","2007-09-05 14:41:00"
24980,"C in a nutshell","2007-11-20 23:05:00","2007-09-05 14:41:00"
24980,"C in a nutshell","2007-11-21 12:33:00","2007-09-05 14:41:00"
24980,"C in a nutshell","2008-02-04 16:57:00","2007-11-27 18:49:00"
24980,"C in a nutshell","2008-08-25 17:21:00","2008-07-22 15:58:00"
24980,"C in a nutshell","2008-11-05 13:43:00","2008-07-22 15:58:00"
24980,"C in a nutshell","2008-11-06 10:42:00","2008-07-22 15:58:00"
24980,"C in a nutshell","2008-12-27 14:34:00","2008-11-10 16:53:00"
24980,"C in a nutshell","2009-01-07 15:35:00","2008-11-10 16:53:00"
